normal_angle,normal_deviation,l_CIELAB,a_CIELAB,b_CIELAB,standard_l_CIELAB,standard_a_CIELAB,standard_b_CIELAB,MIN_height,MAX_height,bounding_box_width,bounding_box_height,bounding_box_depth,bounding_box_vertical_area,bounding_box_horizontal_area,vertical_elongation,horizontal_elongation,volumeness,
0.400887,0.192757,97.3632,-0.896424,-0.538062,26.6643,1.53271,1.98502,0.383227,0.50212,1.18117,0.118892,0.39476,0.140432,0.466279,0.100656,0.33421,0.301177,
0.133997,0.215572,71.6324,-2.2776,1.23965,42.2054,1.54414,3.72062,-0.0729997,0.0822272,4.46577,0.155227,2.72274,0.693208,12.1592,0.0347593,0.609692,0.0570112,
1.45273,0.369267,36.016,2.11935,15.3056,421.579,8.8619,39.0727,0.0265638,0.168179,0.312451,0.141616,0.115188,0.044248,0.0359906,0.45324,0.368658,1.22943,
1.39269,0.172178,60.1938,-11.321,15.7899,91.3302,42.2135,37.552,0.0572821,0.419488,1.22231,0.362206,0.162028,0.442726,0.198048,0.29633,0.132559,2.23545,
0.443066,0.149584,99.0956,0.0262261,-0.0639757,15.2591,0.0893335,0.103131,0.576678,0.785217,0.86729,0.208539,0.446143,0.180864,0.386935,0.240449,0.51441,0.467427,
1.41661,0.138461,90.4244,-1.03921,-2.10421,37.747,0.440483,0.673235,0.4135,0.607518,0.888418,0.194018,0.0566928,0.172369,0.0503669,0.218386,0.0638132,3.42227,
0.47061,0.18829,66.7776,-11.8761,17.1556,67.3132,66.5424,6.81796,0.123743,0.196728,0.465234,0.0729848,0.12089,0.033955,0.056242,0.156878,0.259847,0.603731,
0.602384,0.25644,36.54,-0.565417,15.3347,387.583,33.7832,38.2978,-0.0083878,0.173849,0.631698,0.182237,0.118827,0.115119,0.0750628,0.288488,0.188108,1.53363,
0.469519,0.218472,67.3878,-11.3997,16.9818,64.8678,65.5587,13.0942,0.135016,0.223279,0.52695,0.088263,0.126491,0.0465102,0.0666545,0.167498,0.240044,0.697781,
1.03049,0.203241,50.9271,-18.9814,21.3199,159.957,30.5599,67.3894,0.189861,0.385683,0.416243,0.195822,0.0949091,0.0815094,0.0395052,0.470451,0.228014,2.06326,
1.08856,0.23067,56.0022,-14.2412,16.5651,161.496,37.3505,49.0275,0.134177,0.465809,0.909895,0.331632,0.227272,0.30175,0.206794,0.364473,0.249779,1.45918,
1.20854,0.127034,89.8824,-2.13311,-3.15155,31.5862,0.524766,2.22157,0.419979,0.789149,0.543261,0.36917,0.229748,0.200555,0.124813,0.679544,0.422906,1.60684,
0.793381,0.086489,54.5388,-18.0888,17.1192,277.482,33.8778,86.1043,0.32271,0.473689,0.354993,0.150979,0.0883259,0.0535965,0.031355,0.425302,0.24881,1.70934,
1.4597,0.315043,41.1691,-1.63591,17.2322,304.89,21.0008,35.4324,-0.0167571,0.166837,0.440444,0.183594,0.137058,0.0808628,0.0603663,0.416838,0.31118,1.33954,
0.23386,0.111267,25.507,-2.266,6.55831,356.852,6.10654,12.1153,-0.0234501,0.0453783,1.23239,0.0688285,0.273999,0.0848233,0.337673,0.0558497,0.222332,0.2512,
0.265019,0.16321,62.982,-18.8211,18.6289,38.9469,29.6,27.3565,0.140346,0.193714,0.451965,0.053368,0.218754,0.0241204,0.098869,0.11808,0.484006,0.243964,
0.478885,0.326814,44.6527,-0.877445,0.0461919,1061.36,0.656751,0.456433,-0.0209699,0.00284433,0.579156,0.0238142,0.112915,0.0137921,0.0653953,0.0411188,0.194964,0.210904,
1.53499,0.313381,67.8921,-0.818319,1.82084,137.938,0.321765,0.593332,-0.0297953,0.0341015,0.551841,0.0638968,0.130215,0.0352608,0.0718581,0.115788,0.235966,0.490701,
