normal_angle,normal_deviation,l_CIELAB,a_CIELAB,b_CIELAB,standard_l_CIELAB,standard_a_CIELAB,standard_b_CIELAB,MIN_height,MAX_height,bounding_box_width,bounding_box_height,bounding_box_depth,bounding_box_vertical_area,bounding_box_horizontal_area,vertical_elongation,horizontal_elongation,volumeness,
1.12366,0.266529,48.2793,1.33897,19.3708,82.9011,4.52936,100.633,-0.0456115,0.129181,0.138058,0.174792,0.0887706,0.0241314,0.0122555,1.26608,0.642997,1.96903,
0.840251,0.500495,55.0673,0.773626,-0.753323,410.846,3.423,6.56628,0.611901,0.788779,0.467229,0.176878,0.101935,0.0826424,0.0476268,0.378568,0.218169,1.73521,
1.46351,0.231271,42.698,-4.09983,3.47243,143.181,2.04558,5.73775,0.366669,1.08895,0.256624,0.722285,0.126174,0.185356,0.0323793,2.81456,0.491669,5.72451,
1.62557,0.180871,38.1084,-4.14787,2.45942,244.578,2.21033,5.53425,0.724003,1.13836,0.21307,0.414358,0.0970266,0.0882874,0.0206735,1.9447,0.455373,4.27056,
1.82517,0.404078,57.9766,-4.1995,1.98726,62.313,1.05216,3.21734,0.112782,0.767401,0.377925,0.654619,0.138546,0.247396,0.0523601,1.73214,0.366598,4.7249,
1.44305,0.116057,32.0972,-5.43206,5.66483,17.1963,0.762958,1.67229,0.1941,0.822567,0.148392,0.628467,0.109397,0.0932598,0.0162336,4.23517,0.737212,5.74485,
1.23911,0.603913,33.9816,0.430333,2.37248,277.693,38.4187,8.62556,0.94211,1.13971,0.357145,0.1976,0.0934708,0.0705719,0.0333826,0.553278,0.261717,2.11403,
1.26875,0.305524,14.1333,20.3317,9.85051,119.18,247.36,76.2738,0.895584,1.16248,0.198233,0.266897,0.104277,0.0529077,0.0206712,1.34638,0.526035,2.55949,
1.61805,0.350895,59.3724,-2.44915,-1.17104,300.173,15.9559,3.98673,0.0160289,1.13564,0.773697,1.11961,0.0927384,0.866243,0.0717515,1.4471,0.119864,12.0728,
1.31894,0.356103,33.1646,-1.92593,17.437,93.4649,5.67368,20.6376,-0.00184679,0.215113,0.161369,0.21696,0.120007,0.0350105,0.0193654,1.3445,0.743684,1.80789,
0.778574,0.443467,11.6027,-2.22298,5.48474,83.4887,1.24721,2.43859,0.00459254,0.0609646,0.126723,0.056372,0.0811851,0.00714361,0.010288,0.444846,0.640652,0.694364,
1.90883,0.22746,6.37393,-2.28353,5.27673,7.17482,2.39847,5.58435,0.00853431,0.132964,0.374432,0.12443,0.0906017,0.0465904,0.0339241,0.332316,0.241971,1.37337,
0.259069,0.10448,36.1021,-2.96465,3.75807,348.213,1.06688,0.935905,-0.018226,0.0367849,0.347406,0.0550109,0.131964,0.0191111,0.0458451,0.158348,0.379856,0.416862,
0.805923,0.0997483,55.8454,1.37837,14.7227,55.3356,1.37241,15.3159,0.371015,0.418107,0.14473,0.0470915,0.050823,0.00681554,0.00735559,0.325376,0.351158,0.92658,
1.44856,0.145699,42.7745,2.79026,22.1719,35.9535,1.54817,12.2441,0.147293,0.4112,0.328326,0.263907,0.0882483,0.0866473,0.0289742,0.803796,0.268783,2.9905,
0.485419,0.1286,22.381,-0.174012,13.8274,14.0726,0.778232,1.63664,0.123866,0.183333,0.331861,0.0594666,0.0941398,0.0197346,0.0312413,0.179191,0.283672,0.631684,
0.486377,0.333121,11.3532,-0.479703,6.2314,134.554,1.64108,13.2072,-0.0547615,0.015952,0.315021,0.0707135,0.183938,0.0222762,0.0579444,0.224472,0.583892,0.384442,
0.199573,0.181538,30.2018,-2.85103,11.7148,96.9621,0.438408,12.8582,-0.0284773,0.0169468,0.477818,0.0454241,0.160927,0.0217044,0.0768939,0.0950658,0.336796,0.282265,
0.336852,0.179323,34.4032,1.30708,15.2616,41.4046,2.13898,12.1716,0.127189,0.193237,0.334155,0.066048,0.312599,0.0220703,0.104456,0.197657,0.935491,0.211287,
0.308429,0.324463,26.051,0.916596,14.1512,21.4958,1.29228,2.93847,0.131634,0.193106,0.545833,0.0614716,0.193629,0.0335532,0.105689,0.11262,0.35474,0.317471,
0.489915,0.424792,19.8562,1.34571,11.2124,163.218,4.36108,14.9914,0.126216,0.219928,0.301442,0.0937121,0.171038,0.0282488,0.0515582,0.310879,0.5674,0.547901,
1.65912,0.241603,19.6357,-5.41656,6.36233,29.6979,2.44604,3.64786,-0.0263456,0.815891,0.53932,0.842236,0.244915,0.454235,0.132088,1.56166,0.454119,3.43889,
1.49165,0.207989,28.2489,8.42651,4.89936,148.747,119.604,30.2312,0.260026,0.46619,0.222401,0.206163,0.102591,0.0458508,0.0228162,0.926988,0.461287,2.00957,
1.76086,0.311161,16.5281,-5.38186,7.30345,4.27329,0.460222,1.45305,0.497821,0.832377,0.63214,0.334556,0.164674,0.211486,0.104097,0.529243,0.260503,2.03162,
1.79925,0.21317,16.284,-4.71523,6.05759,4.27925,8.982,1.64654,0.362336,0.63509,0.194632,0.272754,0.103766,0.0530866,0.0201962,1.40139,0.533143,2.62854,
0.806876,0.200335,39.0587,-2.9247,5.39091,126.998,0.576438,2.04739,-0.0486168,0.0277631,0.149562,0.0763799,0.0588609,0.0114235,0.00880335,0.510691,0.393555,1.29763,
1.50322,0.128538,16.824,8.08577,10.4853,27.1823,180.845,9.22541,0.082755,0.358024,0.189779,0.275269,0.108845,0.0522404,0.0206565,1.45047,0.573533,2.52901,
0.580037,0.867477,46.0255,-2.28347,3.89844,62.6724,0.312634,0.749874,-0.0687381,0.0211582,0.424989,0.0898963,0.225001,0.0382049,0.0956229,0.211526,0.529429,0.399537,
